,project_name,warning_code,file_path,message,line
0,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:0: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",222
1,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:1: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",238
2,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:2: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",254
3,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:3: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",270
4,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:12: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",352
5,cta-version,DPCT1011,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1011:13: The tool detected overloaded operators for built-in vector types,
which may conflict with the SYCL 1.2.1 standard operators (see 4.10.2.1 Vec
interface). The tool inserted a namespace to avoid the conflict. Use SYCL 1.2.1
standard operators instead.",367
6,cta-version,DPCT1013,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1013:4: The rounding mode could not be specified and the generated
code may have different precision then the original code. Verify the
correctness. SYCL math built-ins rounding mode is aligned with OpenCL
C 1.2 standard.",289
7,cta-version,DPCT1013,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1013:5: The rounding mode could not be specified and the generated
code may have different precision then the original code. Verify the
correctness. SYCL math built-ins rounding mode is aligned with OpenCL
C 1.2 standard.",296
8,cta-version,DPCT1013,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1013:6: The rounding mode could not be specified and the generated
code may have different precision then the original code. Verify the
correctness. SYCL math built-ins rounding mode is aligned with OpenCL
C 1.2 standard.",303
9,cta-version,DPCT1013,tridiagonal/.../sweep_kernels.dp.cpp,"DPCT1013:7: The rounding mode could not be specified and the generated
code may have different precision then the original code. Verify the
correctness. SYCL math built-ins rounding mode is aligned with OpenCL
C 1.2 standard.",310
